link,Text,score
https://newsroom.ibm.com/2024-02-06-New-IBM-LinuxONE-4-Express-to-Offer-Cost-Savings-and-Client-Value-through-a-Cyber-Resilient-Hybrid-Cloud-and-AI-Platform,New IBM LinuxONE 4 Express – Rack-mounted pre-configured Linux mainframe (ibm.com),34 points
https://aaronparecki.com/2015/08/29/8/why-i-live-in-irc,Why I Live in IRC (2015) (aaronparecki.com),34 points
https://ourworldindata.org/much-better-awful-can-be-better,The world is awful. The world is much better. The world can be much better (ourworldindata.org),182 points
https://github.com/AdguardTeam/AdGuardHome,Runs on your OpenWrt box: AdGuard Home is network-wide blocking ads and tracking (github.com/adguardteam),145 points
https://clig.dev/,Command line interface guidelines (2021) (clig.dev),273 points
https://www.fastcompany.com/3040223/when-it-clicks-it-clicks,How Lego Became the Apple of Toys (2015) (fastcompany.com),43 points
https://netbox.dev/,NetBox: a source of truth for everything on your network (netbox.dev),170 points
https://www.newyorker.com/magazine/2024/02/05/the-perverse-policies-that-fuel-wildfires,The perverse policies that fuel wildfires (newyorker.com),67 points
https://depot.dev/blog/buildkit-in-depth,BuildKit in depth: Docker's build engine explained (depot.dev),50 points
https://arxiv.org/abs/2401.16212,Better Call GPT: Comparing large language models against lawyers [pdf] (arxiv.org),264 points
https://devblogs.microsoft.com/oldnewthing/20240116-00/?p=109274,"What is a hard error, and what makes it harder than an easy error? (microsoft.com)",10 points
https://chriscoyier.net/2024/01/24/what-happened-with-the-web-monetization-api/,What happened with the Web Monetization API? (chriscoyier.net),130 points
https://www.ycombinator.com/companies/playht/jobs/G6vI660-senior-ml-engineer-large-language-models,PlayHT (YC W23) Is Hiring a Founding LLM Engineer and Researcher (ycombinator.com),63 points
https://www.smithsonianmag.com/history/these-paintings-reveal-how-the-dutch-adapted-to-extreme-weather-during-the-little-ice-age-180983671/,Paintings reveal how the Dutch adapted to extreme weather in the little Ice Age (smithsonianmag.com),128 points
https://www.tomshardware.com/networking/three-million-malware-infected-smart-toothbrushes-used-in-swiss-ddos-attacks-botnet-causes-millions-of-euros-in-damages,Three million malware-infected smart toothbrushes used in Swiss DDoS attacks (tomshardware.com),177 points
https://utcc.utoronto.ca/~cks/space/blog/sysadmin/TrackingMachineImportance,We might want to regularly keep track of how important each server is (utoronto.ca),130 points
https://www.futureme.org/,Write a Letter to Your Future Self (futureme.org),46 points
https://github.com/apple/ml-mgie,Instruction-Based Image Editing via LLM (github.com/apple),19 points
https://www.bbc.com/future/article/20240131-how-the-pennsylvania-dutch-created-groundhog-day,The ancient Germanic history of Groundhog Day (bbc.com),58 points
https://github.com/deepseek-ai/DeepSeek-Math,DeepSeekMath 7B achieved 51.7% on MATH benchmark (github.com/deepseek-ai),146 points
